tunecache	0.5.0	cpu_arch=x86_64,gpu_arch=sm_20	# Last updated Tue May 10 01:24:51 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
1048576	N4quda10PackSpinorIddLi4ELi3ENS_11FloatNOrderIdLi4ELi3ELi2EEENS_21SpaceSpinorColorOrderIdLi4ELi3EEENS_13PreserveBasisIddLi4ELi3EEEEE	out_stride=1048576,in_stride=1048576	32	1	1	32768	1	1	6336	# 0.00 Gflop/s, 47.22 GB/s, tuned Fri Jan  4 17:38:43 2013
1048576	N4quda10PackSpinorIddLi4ELi3ENS_21SpaceSpinorColorOrderIdLi4ELi3EEENS_11FloatNOrderIdLi4ELi3ELi2EEENS_13PreserveBasisIddLi4ELi3EEEEE	out_stride=1048576,in_stride=1048576	32	1	1	32768	1	1	6336	# 0.00 Gflop/s, 21.46 GB/s, tuned Fri Jan  4 17:47:32 2013
10x10x10x20	N4quda15TwistGamma5CudaI6float4EE	192	1	1	1	1	1	5462	6336	# 0.00 Gflop/s, 21.46 GB/s, tuned Fri Jan  4 17:47:32 2013
10x10x10x20	N4quda15TwistGamma5CudaI7double2EE	384	1	1	1	1	1	4097	6336	# 0.00 Gflop/s, 21.46 GB/s, tuned Fri Jan  4 17:47:32 2013
10x10x10x20	N4quda16WilsonDslashCudaI6float4S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12	96	1	1	105	1	1	3277	# 111.43 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:56 2013
10x10x10x20	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12	32	1	1	313	1	1	2341	# 45.98 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:53 2013
10x10x10x20	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12,Xpay	32	1	1	313	1	1	2341	# 42.22 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:53 2013
10x10x10x20	N4quda17TwistedDslashCudaI6float4S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12	384	1	1	27	1	1	2049	# 115.38 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:56 2013
10x10x10x20	N4quda17TwistedDslashCudaI6float4S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12,Xpay	384	1	1	27	1	1	4097	# 109.45 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:56 2013
10x10x10x20	N4quda17TwistedDslashCudaI7double2S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12	64	1	1	157	1	1	4097	# 45.60 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:54 2013
10x10x10x20	N4quda17TwistedDslashCudaI7double2S1_EE	type=interior,comm=0000,ghost=0000,reconstruct=12,Xpay	32	1	1	313	1	1	2341	# 43.47 Gflop/s, 0.00 GB/s, tuned Fri Apr 12 16:35:54 2013
12x12x12x12	N4quda11axpyCGNorm2I7double26float26float4EE	stride=20736,prec=4	256	1	1	42	1	1	4096	# 33.75 Gflop/s, 67.50 GB/s, tuned Wed Feb  6 16:27:14 2013
12x12x12x12	N4quda14PackFaceWilsonI6float4EE	dim=1,stride=20736,prec=4	64	1	1	54	1	1	2731	# 0.91 Gflop/s, 21.75 GB/s, tuned Wed Feb  6 16:27:11 2013
12x12x12x12	N4quda14PackFaceWilsonI6float4EE	dim=2,stride=20736,prec=4	128	1	1	27	1	1	5462	# 0.92 Gflop/s, 22.00 GB/s, tuned Wed Feb  6 16:27:11 2013
12x12x12x12	N4quda14PackFaceWilsonI7double2EE	dim=1,stride=20736,prec=8	96	1	1	36	1	1	0	# 0.73 Gflop/s, 34.95 GB/s, tuned Wed Feb  6 16:27:05 2013
12x12x12x12	N4quda14PackFaceWilsonI7double2EE	dim=2,stride=20736,prec=8	96	1	1	36	1	1	0	# 0.82 Gflop/s, 39.22 GB/s, tuned Wed Feb  6 16:27:05 2013
12x12x12x12	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=20736,prec=8	256	1	1	69	1	1	6144	# 16.74 Gflop/s, 66.94 GB/s, tuned Wed Feb  6 16:27:25 2013
12x12x12x12	N4quda3DotId6float26float4EE	stride=20736,prec=4	96	1	1	77	1	1	768	# 13.82 Gflop/s, 55.27 GB/s, tuned Wed Feb  6 16:27:13 2013
12x12x12x12	N4quda3xpyI7double2S1_EE	stride=20736,prec=8	992	1	1	254	1	1	0	# 3.78 Gflop/s, 90.75 GB/s, tuned Wed Feb  6 16:27:18 2013
12x12x12x12	N4quda4axpyI6float26float4EE	stride=20736,prec=4	64	1	1	112	1	1	0	# 13.57 Gflop/s, 81.42 GB/s, tuned Wed Feb  6 16:27:16 2013
12x12x12x12	N4quda4xpayI6float26float4EE	stride=20736,prec=4	64	1	1	112	1	1	0	# 13.70 Gflop/s, 82.18 GB/s, tuned Wed Feb  6 16:27:12 2013
12x12x12x12	N4quda4xpayI7double2S1_EE	stride=20736,prec=8	1024	1	1	255	1	1	0	# 7.73 Gflop/s, 92.73 GB/s, tuned Wed Feb  6 16:27:06 2013
12x12x12x12	N4quda5Norm2Id7double2S1_EE	stride=20736,prec=8	224	1	1	51	1	1	1792	# 14.19 Gflop/s, 56.76 GB/s, tuned Wed Feb  6 16:27:07 2013
12x12x12x12	N4quda8axpyZpbxI6float26float4EE	stride=20736,prec=4	32	1	1	94	1	1	0	# 34.85 Gflop/s, 87.13 GB/s, tuned Wed Feb  6 16:27:15 2013
12x12x12x12	N4quda8xmyNorm2Id7double2S1_EE	stride=20736,prec=8	64	1	1	112	1	1	512	# 10.41 Gflop/s, 83.26 GB/s, tuned Wed Feb  6 16:27:10 2013
12x12x12x12	copyKernel	stride=20736,out_prec=4,in_prec=8	512	1	1	95	1	1	0	# 0.00 Gflop/s, 80.62 GB/s, tuned Wed Feb  6 16:27:11 2013
12x12x12x12	copyKernel	stride=20736,out_prec=8,in_prec=4	512	1	1	59	1	1	0	# 0.00 Gflop/s, 76.96 GB/s, tuned Wed Feb  6 16:27:16 2013
12x12x12x48	N4quda11axpyCGNorm2I7double26float26float4EE	stride=82944,prec=4	352	1	1	12	1	1	5632	# 42.57 Gflop/s, 85.15 GB/s, tuned Fri Feb 22 15:46:43 2013
12x12x12x48	N4quda14PackFaceWilsonI6float4EE	dim=1,stride=82944,prec=4	192	1	1	72	1	1	5462	# 1.53 Gflop/s, 36.68 GB/s, tuned Fri Feb 22 15:46:33 2013
12x12x12x48	N4quda14PackFaceWilsonI6float4EE	dim=2,stride=82944,prec=4	416	1	1	34	1	1	0	# 1.64 Gflop/s, 39.45 GB/s, tuned Fri Feb 22 15:46:33 2013
12x12x12x48	N4quda14PackFaceWilsonI7double2EE	dim=1,stride=82944,prec=8	192	1	1	72	1	1	0	# 1.04 Gflop/s, 49.73 GB/s, tuned Fri Feb 22 15:46:15 2013
12x12x12x48	N4quda14PackFaceWilsonI7double2EE	dim=2,stride=82944,prec=8	384	1	1	36	1	1	4097	# 1.17 Gflop/s, 56.12 GB/s, tuned Fri Feb 22 15:46:15 2013
12x12x12x48	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=82944,prec=8	192	1	1	83	1	1	4608	# 20.74 Gflop/s, 82.96 GB/s, tuned Fri Feb 22 15:47:37 2013
12x12x12x48	N4quda3DotId6float26float4EE	stride=82944,prec=4	64	1	1	111	1	1	512	# 19.53 Gflop/s, 78.11 GB/s, tuned Fri Feb 22 15:46:39 2013
12x12x12x48	N4quda3xpyI7double2S1_EE	stride=82944,prec=8	32	1	1	112	1	1	0	# 3.93 Gflop/s, 94.42 GB/s, tuned Fri Feb 22 15:46:58 2013
12x12x12x48	N4quda4axpyI6float26float4EE	stride=82944,prec=4	928	1	1	204	1	1	0	# 15.29 Gflop/s, 91.73 GB/s, tuned Fri Feb 22 15:46:50 2013
12x12x12x48	N4quda4xpayI6float26float4EE	stride=82944,prec=4	896	1	1	152	1	1	0	# 15.54 Gflop/s, 93.22 GB/s, tuned Fri Feb 22 15:46:37 2013
12x12x12x48	N4quda4xpayI7double2S1_EE	stride=82944,prec=8	832	1	1	11	1	1	0	# 7.95 Gflop/s, 95.34 GB/s, tuned Fri Feb 22 15:46:22 2013
12x12x12x48	N4quda5Norm2Id7double2S1_EE	stride=82944,prec=8	384	1	1	83	1	1	3072	# 20.37 Gflop/s, 81.49 GB/s, tuned Fri Feb 22 15:46:24 2013
12x12x12x48	N4quda8axpyZpbxI6float26float4EE	stride=82944,prec=4	32	1	1	79	1	1	0	# 37.19 Gflop/s, 92.98 GB/s, tuned Fri Feb 22 15:46:47 2013
12x12x12x48	N4quda8xmyNorm2Id7double2S1_EE	stride=82944,prec=8	416	1	1	10	1	1	3328	# 11.76 Gflop/s, 94.09 GB/s, tuned Fri Feb 22 15:46:31 2013
12x12x12x48	copyKernel	stride=82944,out_prec=4,in_prec=8	512	1	1	172	1	1	0	# 0.00 Gflop/s, 92.17 GB/s, tuned Fri Feb 22 15:46:33 2013
12x12x12x48	copyKernel	stride=82944,out_prec=8,in_prec=4	544	1	1	126	1	1	0	# 0.00 Gflop/s, 86.22 GB/s, tuned Fri Feb 22 15:46:53 2013
12x12x24x24	N4quda11axpyCGNorm2I7double26float26float4EE	stride=82944,prec=4	480	1	1	10	1	1	7680	# 45.28 Gflop/s, 90.55 GB/s, tuned Wed Feb  6 15:07:40 2013
12x12x24x24	N4quda14PackFaceWilsonI6float4EE	dim=1,stride=82944,prec=4	64	1	1	216	1	1	3277	# 1.89 Gflop/s, 45.31 GB/s, tuned Wed Feb  6 15:07:32 2013
12x12x24x24	N4quda14PackFaceWilsonI7double2EE	dim=1,stride=82944,prec=8	256	1	1	54	1	1	8193	# 1.21 Gflop/s, 58.30 GB/s, tuned Wed Feb  6 15:07:17 2013
12x12x24x24	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=82944,prec=8	288	1	1	137	1	1	6912	# 21.50 Gflop/s, 86.01 GB/s, tuned Wed Feb  6 15:07:56 2013
12x12x24x24	N4quda3DotId6float26float4EE	stride=82944,prec=4	64	1	1	96	1	1	512	# 20.54 Gflop/s, 82.15 GB/s, tuned Wed Feb  6 15:07:38 2013
12x12x24x24	N4quda3xpyI7double2S1_EE	stride=82944,prec=8	800	1	1	10	1	1	0	# 4.08 Gflop/s, 97.89 GB/s, tuned Wed Feb  6 15:07:54 2013
12x12x24x24	N4quda4axpyI6float26float4EE	stride=82944,prec=4	1024	1	1	246	1	1	0	# 15.84 Gflop/s, 95.06 GB/s, tuned Wed Feb  6 15:07:47 2013
12x12x24x24	N4quda4xpayI6float26float4EE	stride=82944,prec=4	64	1	1	112	1	1	0	# 16.14 Gflop/s, 96.86 GB/s, tuned Wed Feb  6 15:07:35 2013
12x12x24x24	N4quda4xpayI7double2S1_EE	stride=82944,prec=8	800	1	1	11	1	1	0	# 8.20 Gflop/s, 98.42 GB/s, tuned Wed Feb  6 15:07:23 2013
12x12x24x24	N4quda5Norm2Id7double2S1_EE	stride=82944,prec=8	128	1	1	97	1	1	1024	# 21.32 Gflop/s, 85.29 GB/s, tuned Wed Feb  6 15:07:25 2013
12x12x24x24	N4quda8axpyZpbxI6float26float4EE	stride=82944,prec=4	320	1	1	8	1	1	0	# 38.43 Gflop/s, 96.08 GB/s, tuned Wed Feb  6 15:07:44 2013
12x12x24x24	N4quda8xmyNorm2Id7double2S1_EE	stride=82944,prec=8	736	1	1	11	1	1	5888	# 12.00 Gflop/s, 95.99 GB/s, tuned Wed Feb  6 15:07:31 2013
12x12x24x24	copyKernel	stride=82944,out_prec=4,in_prec=8	544	1	1	175	1	1	0	# 0.00 Gflop/s, 90.11 GB/s, tuned Wed Feb  6 15:07:32 2013
12x12x24x24	copyKernel	stride=82944,out_prec=8,in_prec=4	512	1	1	190	1	1	0	# 0.00 Gflop/s, 88.07 GB/s, tuned Wed Feb  6 15:07:49 2013
12x12x24x48	N4quda11axpyCGNorm2I7double26float26float4EE	stride=165888,prec=4	544	1	1	11	1	1	8704	# 48.03 Gflop/s, 96.06 GB/s, tuned Wed Feb  6 14:51:06 2013
12x12x24x48	N4quda14PackFaceWilsonI6float4EE	dim=1,stride=165888,prec=4	64	1	1	432	1	1	3277	# 2.38 Gflop/s, 57.07 GB/s, tuned Wed Feb  6 14:50:52 2013
12x12x24x48	N4quda14PackFaceWilsonI7double2EE	dim=1,stride=165888,prec=8	256	1	1	108	1	1	8193	# 1.40 Gflop/s, 67.25 GB/s, tuned Wed Feb  6 14:50:21 2013
12x12x24x48	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=165888,prec=8	384	1	1	14	1	1	9216	# 22.42 Gflop/s, 89.69 GB/s, tuned Wed Feb  6 14:51:37 2013
12x12x24x48	N4quda3DotId6float26float4EE	stride=165888,prec=4	64	1	1	112	1	1	512	# 22.63 Gflop/s, 90.53 GB/s, tuned Wed Feb  6 14:51:01 2013
12x12x24x48	N4quda3xpyI7double2S1_EE	stride=165888,prec=8	32	1	1	112	1	1	0	# 4.11 Gflop/s, 98.53 GB/s, tuned Wed Feb  6 14:51:32 2013
12x12x24x48	N4quda4axpyI6float26float4EE	stride=165888,prec=4	448	1	1	11	1	1	0	# 16.30 Gflop/s, 97.77 GB/s, tuned Wed Feb  6 14:51:19 2013
12x12x24x48	N4quda4xpayI6float26float4EE	stride=165888,prec=4	864	1	1	11	1	1	0	# 16.45 Gflop/s, 98.68 GB/s, tuned Wed Feb  6 14:50:57 2013
12x12x24x48	N4quda4xpayI7double2S1_EE	stride=165888,prec=8	832	1	1	11	1	1	0	# 8.21 Gflop/s, 98.55 GB/s, tuned Wed Feb  6 14:50:33 2013
12x12x24x48	N4quda5Norm2Id7double2S1_EE	stride=165888,prec=8	192	1	1	98	1	1	1536	# 23.03 Gflop/s, 92.10 GB/s, tuned Wed Feb  6 14:50:37 2013
12x12x24x48	N4quda8axpyZpbxI6float26float4EE	stride=165888,prec=4	160	1	1	16	1	1	0	# 39.05 Gflop/s, 97.63 GB/s, tuned Wed Feb  6 14:51:14 2013
12x12x24x48	N4quda8xmyNorm2Id7double2S1_EE	stride=165888,prec=8	736	1	1	10	1	1	5888	# 12.07 Gflop/s, 96.59 GB/s, tuned Wed Feb  6 14:50:48 2013
12x12x24x48	copyKernel	stride=165888,out_prec=4,in_prec=8	608	1	1	256	1	1	0	# 0.00 Gflop/s, 91.15 GB/s, tuned Wed Feb  6 14:50:51 2013
12x12x24x48	copyKernel	stride=165888,out_prec=8,in_prec=4	896	1	1	239	1	1	0	# 0.00 Gflop/s, 89.53 GB/s, tuned Wed Feb  6 14:51:23 2013
12x24x12x12	N4quda11axpyCGNorm2I7double26float26float4EE	stride=41472,prec=4	64	1	1	112	1	1	1024	# 40.85 Gflop/s, 81.69 GB/s, tuned Fri Jan  4 18:45:00 2013
12x24x12x12	N4quda14PackFaceWilsonI6float4EE	dim=2,stride=41472,prec=4	64	1	1	108	1	1	0	# 1.63 Gflop/s, 39.12 GB/s, tuned Fri Jan  4 18:44:56 2013
12x24x12x12	N4quda14PackFaceWilsonI7double2EE	dim=2,stride=41472,prec=8	64	1	1	108	1	1	0	# 1.11 Gflop/s, 53.26 GB/s, tuned Fri Jan  4 18:44:47 2013
12x24x12x12	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=41472,prec=8	288	1	1	130	1	1	6912	# 19.68 Gflop/s, 78.71 GB/s, tuned Fri Jan  4 18:45:12 2013
12x24x12x12	N4quda3DotId6float26float4EE	stride=41472,prec=4	64	1	1	97	1	1	512	# 17.78 Gflop/s, 71.14 GB/s, tuned Fri Jan  4 18:44:58 2013
12x24x12x12	N4quda3xpyI7double2S1_EE	stride=41472,prec=8	64	1	1	112	1	1	0	# 4.05 Gflop/s, 97.28 GB/s, tuned Fri Jan  4 18:45:07 2013
12x24x12x12	N4quda4axpyI6float26float4EE	stride=41472,prec=4	64	1	1	112	1	1	0	# 15.26 Gflop/s, 91.55 GB/s, tuned Fri Jan  4 18:45:03 2013
12x24x12x12	N4quda4xpayI6float26float4EE	stride=41472,prec=4	992	1	1	251	1	1	0	# 15.31 Gflop/s, 91.84 GB/s, tuned Fri Jan  4 18:44:57 2013
12x24x12x12	N4quda4xpayI7double2S1_EE	stride=41472,prec=8	576	1	1	11	1	1	0	# 8.07 Gflop/s, 96.87 GB/s, tuned Fri Jan  4 18:44:51 2013
12x24x12x12	N4quda5Norm2Id7double2S1_EE	stride=41472,prec=8	128	1	1	95	1	1	1024	# 18.59 Gflop/s, 74.34 GB/s, tuned Fri Jan  4 18:44:49 2013
12x24x12x12	N4quda8axpyZpbxI6float26float4EE	stride=41472,prec=4	32	1	1	79	1	1	0	# 37.53 Gflop/s, 93.81 GB/s, tuned Fri Jan  4 18:45:02 2013
12x24x12x12	N4quda8xmyNorm2Id7double2S1_EE	stride=41472,prec=8	64	1	1	65	1	1	512	# 11.53 Gflop/s, 92.25 GB/s, tuned Fri Jan  4 18:44:55 2013
12x24x12x12	copyKernel	stride=41472,out_prec=4,in_prec=8	512	1	1	216	1	1	0	# 0.00 Gflop/s, 86.94 GB/s, tuned Fri Jan  4 18:44:56 2013
12x24x12x12	copyKernel	stride=41472,out_prec=8,in_prec=4	512	1	1	170	1	1	0	# 0.00 Gflop/s, 85.08 GB/s, tuned Fri Jan  4 18:45:05 2013
12x24x12x24	N4quda11axpyCGNorm2I7double26float26float4EE	stride=82944,prec=4	416	1	1	13	1	1	6656	# 45.58 Gflop/s, 91.16 GB/s, tuned Wed Feb  6 15:03:07 2013
12x24x12x24	N4quda14PackFaceWilsonI6float4EE	dim=2,stride=82944,prec=4	544	1	1	26	1	1	8193	# 2.09 Gflop/s, 50.17 GB/s, tuned Wed Feb  6 15:03:00 2013
12x24x12x24	N4quda14PackFaceWilsonI7double2EE	dim=2,stride=82944,prec=8	256	1	1	54	1	1	8193	# 1.42 Gflop/s, 68.14 GB/s, tuned Wed Feb  6 15:02:44 2013
12x24x12x24	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	stride=82944,prec=8	320	1	1	246	1	1	7680	# 21.48 Gflop/s, 85.90 GB/s, tuned Wed Feb  6 15:03:23 2013
12x24x12x24	N4quda3DotId6float26float4EE	stride=82944,prec=4	64	1	1	112	1	1	512	# 20.70 Gflop/s, 82.81 GB/s, tuned Wed Feb  6 15:03:05 2013
12x24x12x24	N4quda3xpyI7double2S1_EE	stride=82944,prec=8	864	1	1	10	1	1	0	# 4.07 Gflop/s, 97.63 GB/s, tuned Wed Feb  6 15:03:21 2013
12x24x12x24	N4quda4axpyI6float26float4EE	stride=82944,prec=4	576	1	1	11	1	1	0	# 15.88 Gflop/s, 95.28 GB/s, tuned Wed Feb  6 15:03:14 2013
12x24x12x24	N4quda4xpayI6float26float4EE	stride=82944,prec=4	448	1	1	11	1	1	0	# 16.06 Gflop/s, 96.38 GB/s, tuned Wed Feb  6 15:03:03 2013
12x24x12x24	N4quda4xpayI7double2S1_EE	stride=82944,prec=8	800	1	1	11	1	1	0	# 8.24 Gflop/s, 98.83 GB/s, tuned Wed Feb  6 15:02:50 2013
12x24x12x24	N4quda5Norm2Id7double2S1_EE	stride=82944,prec=8	256	1	1	70	1	1	2048	# 21.13 Gflop/s, 84.52 GB/s, tuned Wed Feb  6 15:02:52 2013
12x24x12x24	N4quda8axpyZpbxI6float26float4EE	stride=82944,prec=4	384	1	1	8	1	1	0	# 38.52 Gflop/s, 96.30 GB/s, tuned Wed Feb  6 15:03:11 2013
12x24x12x24	N4quda8xmyNorm2Id7double2S1_EE	stride=82944,prec=8	704	1	1	11	1	1	5632	# 12.01 Gflop/s, 96.06 GB/s, tuned Wed Feb  6 15:02:58 2013
12x24x12x24	copyKernel	stride=82944,out_prec=4,in_prec=8	416	1	1	240	1	1	0	# 0.00 Gflop/s, 90.10 GB/s, tuned Wed Feb  6 15:03:00 2013
12x24x12x24	copyKernel	stride=82944,out_prec=8,in_prec=4	608	1	1	228	1	1	0	# 0.00 Gflop/s, 88.20 GB/s, tuned Wed Feb  6 15:03:16 2013
12x24x12x48	N4quda11axpyCGNorm2I7double26float26float4EE	stride=165888,prec=4	512	1	1	10	1	1	8192	# 48.14 Gflop/s, 96.28 GB/s, tuned Tue Feb  5 18:48:28 2013
12x24x12x48	N4quda14PackFaceWilsonI6float4EE	dim=2,stride=165888,prec=4	64	1	1	432	1	1	2731	# 2.76 Gflop/s, 66.14 GB/s, tuned Tue Feb  5 18:48:14 2013
12x24x12x48	N4quda14PackFaceWilsonI7double2EE	dim=2,stride=165888,prec=8	288	1	1	96	1	1	2049	# 1.64 Gflop/s, 78.67 GB/s, tuned Tue Feb  5 18:47:44 2013
